# x1,y1,z1,x2,y2,z2
5.845869110536825985e+01,1.512336018629273759e+01,-6.118486217734653820e+01,6.143292318332921553e+01,9.282967988403788340e+00,-5.050228939061360478e+01
-5.389732631807068941e+01,-9.360437467590726612e+01,-4.562526613295816702e+01,-5.489906038032832214e+01,-9.044121939685668110e+01,-4.394581016821565811e+01
7.731874359301028221e+01,9.969532293381465848e+00,7.209578725836654201e+01,7.636949173055572260e+01,1.108604524255160051e+01,6.818617216889627741e+01
5.338037470334374035e+01,3.062424635345596968e+01,-5.880729249492866018e+01,5.845869110536825985e+01,1.512336018629273759e+01,-6.118486217734653820e+01
-7.677428524546209587e+01,-4.874820371503768257e+01,-1.833224543254834416e+01,-7.831515517541137683e+01,-4.440620852000241570e+01,-3.197189381252449536e+01
-1.513020671807473860e+01,2.030019529119096688e+01,-4.765511958673525328e+01,-1.316794327674663201e+01,2.266179353821286568e+01,-4.950947253002286885e+01
-6.910515264586773299e+01,-1.939838074658500489e+01,-5.223630120597109538e+01,-7.218403587013943934e+01,-2.118129249550416660e+01,-5.377776549150731711e+01
3.686980295238486605e+01,7.213496165259303439e+01,4.335550774765571447e+01,5.015239308428853349e+01,6.852777777571115791e+01,5.557966304066322039e+01
-4.521873431244684838e+01,4.912832611293661955e+01,-1.463696030435847817e+01,-5.037008762623766955e+01,4.509300831122676101e+01,-2.617713254551557611e+01
-7.095534647719988186e+01,-2.734147793977352592e+01,-4.843342914615735850e+01,-6.910515264586773299e+01,-1.939838074658500489e+01,-5.223630120597109538e+01
6.400146660756499273e+01,1.192405967586804749e+01,-1.644300279405361564e+01,6.342887701359525465e+01,7.715051810082082184e+00,-3.103378245591117235e+01
1.892826890752591140e+01,-7.315812735452041693e+01,-1.505137913805975103e+01,1.668166638012267811e+01,-6.005859110771421427e+01,-1.166139751999217467e+01
-6.097443752223986024e+01,1.550544086692450030e+01,1.447404657162215358e+01,-5.474189661581598187e+01,2.448712322475845582e+01,2.611942930944177377e+01
1.668166638012267811e+01,-6.005859110771421427e+01,-1.166139751999217467e+01,1.519158790970981165e+01,-7.214173288085484614e+01,-1.593942097898810317e+01
6.189583314892109200e+01,3.556820708811704179e+01,2.787260360776354773e+01,6.328316599102327444e+01,4.009882347378297140e+01,3.913280367759448808e+01
5.603768266572910761e+01,6.253527166305657659e+01,5.443241372436967396e+01,5.015239308428853349e+01,6.852777777571115791e+01,5.557966304066322039e+01
7.724803026758755209e+01,-1.570702273498779000e+01,1.887967996867877218e+01,7.713275861623425556e+01,-1.886841057582550718e+01,6.422395572184256274e+00
7.308361039219981592e+01,-2.160302336777519372e+01,-5.749303063706836525e+01,7.267321215977716520e+01,-1.919309748956449369e+01,-5.773007045677524474e+01
3.910070175690471217e+00,7.333932292854586876e+01,-2.830311890148310283e+01,5.614981999826969883e+00,7.172827069888006690e+01,-4.314989207847052199e+01
5.983783615913966258e+01,-3.576357539868040902e+01,1.147111667692441905e+01,5.731900792341937034e+01,-3.829990371558951523e+01,-2.574994620482431995e-01
-3.355808868978266446e+01,6.336005261580366010e+01,-3.562038955582091404e+01,-4.108716157223585697e+01,5.817479829068771124e+01,-4.581577122760133847e+01
